,Título,Unidad Académica,Área temática,Propósito general del curso,Resultados de aprendizaje esperados,Nivel,Curso individual o programa,proposito_norm,ruta_img
27,Ecuaciones diferenciales y sistemas dinamicos,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,Este curso es una presentacion formal de las ecuaciones diferenciales con especial atencion a los modelos de evolucion dinamica en varias variables y sus correspondientes propiedades cualitativas como existencia y unicidad de soluciones. Es la puerta de entrada a una de las areas prominentes de la matematica aplicada como es el modelado de sistemas de evolucion temporal con aplicaciones en practicamente todas las areas de la ciencia y la tecnologia. El curso presenta ecuaciones diferenciales ordinarias de,X,,Programa,curso presentacion formal ecuaciones diferenciales especial atencion modelos evolucion dinamica varias variables correspondientes propiedades cualitativas existencia unicidad soluciones puerta entrada areas prominentes matematica aplicada modelado sistemas evolucion temporal aplicaciones practicamente todas areas ciencia tecnologia curso presenta ecuaciones diferenciales ordinarias,/fondoCartas/img10.jpg
28,Cornerstone Project,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,EICT,"¡Bienvenidos a un emocionante viaje hacia la innovacion y el prototipado! Este curso esta disenado para transformarte en un creador e innovador destacado, comenzando con los fundamentos del diseno y evolucionando hacia la construccion de prototipos de baja resolucion . A traves de sesiones interactivas, aprenderas a dar vida a tus ideas, desde la conceptualizacion hasta la creacion de prototipos funcionales. Te enfrentaras al desafio de construir tu propio protoconcepto, aplicando habilidades practicas y conocimientos teoricos. Este proceso culminara en la presentacion de tu prototipo en un 'elevator pitch', donde tendras la oportunidad de demostrar su valor y potencial. El curso combina perfectamente la teoria con la practica, ofreciendote una experiencia de aprendizaje rica y transformadora. Preparate para sumergirte en un mundo donde la creatividad se encuentra con la funcionalidad, y donde tus ideas se convierten en re alidades innovadoras. ¡Es tu momento de brillar y liderar el camino en el campo de la innovacion y el diseno!",X,,Programa,bienvenidos emocionante viaje hacia innovacion prototipado curso diseñado transformarte creador innovador destacado comenzando fundamentos diseño evolucionando hacia construccion prototipos baja resolucion traves sesiones interactivas aprenderas dar vida ideas conceptualizacion creacion prototipos funcionales enfrentaras desafio construir propio protoconcepto aplicando habilidades practicas conocimientos teoricos proceso culminara presentacion prototipo 'elevator pitch' tendras oportunidad demostrar valor potencial curso combina perfectamente teoria practica ofreciendote experiencia aprendizaje rica transformadora preparate sumergirte mundo creatividad encuentra funcionalidad ideas convierten alidades innovadoras momento brillar liderar camino campo innovacion diseño,/fondoCartas/img6.jpg
29,Mecanica de Fluidos,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,ING,"Este es un curso teorico practico e introductorio a los conceptos y metodos principales de la mecanica de fluidos, los estudiantes trabajaran en la formulacion de modelos propios del analisis y diseno de sistemas de fluidos mediante la aplicacion de estos conceptos; fomentando el desarrollo de habilidades de resolucion de problemas tipicos del ejercicio de la ingenieria. Los temas cubiertos incluyen propiedades de fluidos, estatica de fluidos, leyes de conservacion, analisis dimensional y similitud, flujo no viscoso y viscoso incompresible, y flujo en corrientes confinadas y alrededor de objetos.",X,,Programa,curso teorico practico introductorio conceptos metodos principales mecanica fluidos estudiantes trabajaran formulacion modelos propios analisis diseño sistemas fluidos mediante aplicacion conceptos fomentando desarrollo habilidades resolucion problemas tipicos ejercicio ingenieria temas cubiertos incluyen propiedades fluidos estatica fluidos leyes conservacion analisis dimensional similitud flujo viscoso viscoso incompresible flujo corrientes confinadas alrededor objetos,/fondoCartas/img3.jpg
30,Álgebra lineal,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,"El curso de algebra lineal esta dedicado al algebra vectorial en espacios euclidianos ℝ𝑛, la representacion de sistemas de ecuaciones lineales y su tratamiento sistematico empleando algebra y operaciones matriciales. Incluye los elementos de espacios y subespacios lineales en ℝ𝑛, extensiones de los conceptos de ortogonalidad y proyecciones ortogonales, asi como el tratamiento sistematico de las trasformaciones lineales y su representacion matricial entre espacios euclidianos. Es un curso basico fundamental que abre las puertas a una gran familia de aplicaciones en fisica, geometria, economia e ingenieria.",X,,Programa,curso algebra lineal dedicado algebra vectorial espacios euclidianos representacion sistemas ecuaciones lineales tratamiento sistematico empleando algebra operaciones matriciales incluye elementos espacios subespacios lineales extensiones conceptos ortogonalidad proyecciones ortogonales asi tratamiento sistematico trasformaciones lineales representacion matricial espacios euclidianos curso basico fundamental abre puertas gran familia aplicaciones fisica geometria economia ingenieria,/fondoCartas/img4.jpg
31,ANÁLISIS  NUMÉRICO  Y COMPUTACIÓN  CIENTÍFICA,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,"Los metodos numericos son algoritmos que usan la aproximacion numerica para resolver problemas de integracion, sistemas de ecuaciones diferenciales ordinarias, sistemas de ecuaciones lineales, interpolacion, entre otros. La primera parte de este curso se dedica a estudiar estos algoritmos mediante conceptos como la aproximacion del error y la convergencia. La segunda parte introduce al estudiante en la aplicacion de estos metodos en distintas disciplinas tales como biologia computacional, automatas celulares, fisica computacional, etc.",X,,Programa,metodos numericos algoritmos usan aproximacion numerica resolver problemas integracion sistemas ecuaciones diferenciales ordinarias sistemas ecuaciones lineales interpolacion primera parte curso dedica estudiar algoritmos mediante conceptos aproximacion error convergencia segunda parte introduce estudiante aplicacion metodos distintas disciplinas tales biologia computacional automatas celulares fisica computacional etc,/fondoCartas/img7.jpg
32,Teoria de la computacion,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,"Este curso presenta los elementos esenciales de la teoria de la computacion moderna, ellos son la teoria de los automatas finitos, los lenguajes libres de contexto y las maquinas de Turing. Este es un curso formal de argumentacion rigurosa y fundamental, el cual es la base para temas de gran importancia como el diseno de algoritmos, el diseno de compiladores y el razonamiento automatico.",X,,Programa,curso presenta elementos esenciales teoria computacion moderna teoria automatas finitos lenguajes libres contexto maquinas turing curso formal argumentacion rigurosa fundamental base temas gran importancia diseño algoritmos diseño compiladores razonamiento automatico,/fondoCartas/img4.jpg
33,Keystone project,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,EICT,"Curso de quinto semestre para todos los estudiantes de la EICT , busca desarrollar competencias para la materializacion de estrategias que soluciones proyectos sociales mediados por la tecnologia . Este curso busca incentivar el trabajo interdisciplinario entre los estudiantes de la EICT mediante la ejecucion de un proyecto, durante todo el periodo academico. Durante el curso, los estudiantes trabajaran en equipos para desarrollar un proyecto que busca resolver un re to contextualizado en los problemas que enfrentan las organizaciones y la sociedad. Los estudiantes deben definir una problematica de interes en un contexto local, describiendo claramente el problema a enfrentar y estableciendo objetivos claros y adecuados . Cada grupo de trabajo debe disenar, implementar y evaluar una posible solucion. Para cumplir con este objetivo, cada grupo debe organizarse y funcionar como una nueva empresa de pequena escala. La idea es que todos los grupos vivan una experiencia de emp rendimiento acelerado. Al finalizar el periodo academico, cada equipo debe presentar un producto/prototipo funcional a una mesa de jurados evaluadores. La sesion de evaluacion final, llamada “ Demoday - Mision Keystone EpiCentro – Emprendimiento social de base tecnologica ”, consiste en una dinamica de presentacion de productos innovadores a un jurado especializado. El jurado seleccionado sera responsable de evaluar la planeacion y proyeccion de cada emprendimiento , asi como el prototipo presentado, seleccionando el mas innovador, util y eficiente.",X,,Programa,curso quinto semestre estudiantes eict busca desarrollar competencias materializacion estrategias soluciones proyectos sociales mediados tecnologia curso busca incentivar trabajo interdisciplinario estudiantes eict mediante ejecucion proyecto periodo academico curso estudiantes trabajaran equipos desarrollar proyecto busca resolver contextualizado problemas enfrentan organizaciones sociedad estudiantes deben definir problematica interes contexto local describiendo claramente problema enfrentar estableciendo objetivos claros adecuados cada grupo trabajo debe diseñar implementar evaluar posible solucion cumplir objetivo cada grupo debe organizarse funcionar nueva empresa pequeña escala idea grupos vivan experiencia emp rendimiento acelerado finalizar periodo academico cada equipo debe presentar producto/prototipo funcional mesa jurados evaluadores sesion evaluacion final llamada demoday mision keystone epicentro emprendimiento social base tecnologica consiste dinamica presentacion productos innovadores jurado especializado jurado seleccionado sera responsable evaluar planeacion proyeccion cada emprendimiento asi prototipo presentado seleccionando mas innovador util eficiente,/fondoCartas/img4.jpg
34,Programacion de computadores,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,"Este es un primer curso de programacion dedicado a que el alumno gane habilidades en programacion de rutinas mediante los lenguajes de computacion Pyt hon y C++ . El estudiante desarrollara la habilidad de resolver problemas a traves de programas computacionales. El alumno durante el curso ganar a practica y comprension de conceptos y metodos, tales como: memoria, tipos de datos, variables, instrucciones de control , funciones, clases y objetos, para su implementacion en la escritura de codigo s. El alumno tambien recibira una introduccion a los algoritmos, su analisis e implementacion. Finalmente, se espera que al culminar el curso el estudiante pueda identificar el papel que pueden desempenar los programas computacionales en la resolucion de problemas .",X,,Programa,primer curso programacion dedicado alumno gane habilidades programacion rutinas mediante lenguajes computacion pyt hon c++ estudiante desarrollara habilidad resolver problemas traves programas computacionales alumno curso ganar practica comprension conceptos metodos tales memoria tipos datos variables instrucciones control funciones clases objetos implementacion escritura codigo alumno tambien recibira introduccion algoritmos analisis implementacion finalmente espera culminar curso estudiante pueda identificar papel pueden desempeñar programas computacionales resolucion problemas,/fondoCartas/img9.jpg
35,Elementos de Sistemas Electricos,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,ING,"Los sistemas energeticos estan compuestos por diferentes elementos que generan, transportan y suministran energia en tiempo real; entender los pormenores de su interaccion resulta de vital importancia en la formacion de ingenieros en este campo. El curso Elementos de sistemas Electricos, introduce al estudiante en las tecnicas de analisis, evaluacion y modelac ion de los elementos que componen la cadena de un sistema de potencia. El curso es de caracter teorico practico y se aborda la teoria relevante en maquinas electricas, conversion electromagnetica, lineas de trasmision y protecciones.",X,,Programa,sistemas energeticos estan compuestos diferentes elementos generan transportan suministran energia tiempo real entender pormenores interaccion resulta vital importancia formacion ingenieros campo curso elementos sistemas electricos introduce estudiante tecnicas analisis evaluacion modelac ion elementos componen cadena sistema potencia curso caracter teorico practico aborda teoria relevante maquinas electricas conversion electromagnetica lineas trasmision protecciones,/fondoCartas/img2.jpg
36,Álgebra abstracta y codificacion,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,"Este curso requiere un conocimiento previo de algebra lineal y matematicas estructurales aprendidas en el curso de logica, teoria de numeros y conjuntos. Presenta una introduccion al algebra abstracta, en particular la teoria de grupos, anillos y campos. A lo largo del curso se veran aplicaciones a la teoria de codigos lineales.",X,,Programa,curso requiere conocimiento previo algebra lineal matematicas estructurales aprendidas curso logica teoria numeros conjuntos presenta introduccion algebra abstracta particular teoria grupos anillos campos largo curso veran aplicaciones teoria codigos lineales,/fondoCartas/img6.jpg
37,Calculo,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,"El curso de calculo uno contiene los fundamentos y abre las puertas a una gran cantidad de posibilidades de modelacion y aplicaciones en matematicas. Se refiere al manejo del concepto de limites y sus propiedades, el concepto de derivada, sus propiedades y aplicaciones.",X,,Programa,curso calculo contiene fundamentos abre puertas gran cantidad posibilidades modelacion aplicaciones matematicas refiere manejo concepto limites propiedades concepto derivada propiedades aplicaciones,/fondoCartas/img3.jpg
38,Operating Systems,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,"El conocimiento de los sistemas operativos en cuanto a su diseno, operacion y mantenimiento son fundamentales para un profesional de la informatica, principalmente en dos areas: el conocimiento de los procesos internos de los sistemas operativos, permite su correcta parametrizacion para beneficiar el desempeno de las aplicaciones que se ejecutan en el. dicha plataforma; y conocer los mecanismos de comunicacion y sincronizacion de procesos, permite el desarrollo de aplicaciones que se benefician de estos mecanismos para una ejecucion efectiva. Ademas, el profesional de la informatica debe adquirir herramientas para afrontar problemas tipicos relacionados con los sistemas operativos como: compras, diseno de configuracion, montaje de sistemas, mejora, contabilidad del uso de recursos y planificacion.",X,,Programa,conocimiento sistemas operativos cuanto diseño operacion mantenimiento fundamentales profesional informatica principalmente dos areas conocimiento procesos internos sistemas operativos permite correcta parametrizacion beneficiar desempeño aplicaciones ejecutan dicha plataforma conocer mecanismos comunicacion sincronizacion procesos permite desarrollo aplicaciones benefician mecanismos ejecucion efectiva ademas profesional informatica debe adquirir herramientas afrontar problemas tipicos relacionados sistemas operativos compras diseño configuracion montaje sistemas mejora contabilidad uso recursos planificacion,/fondoCartas/img8.jpg
39,Instrumentacion,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,ING,"Este curso de Instrumentacion presenta los conceptos esenciales de un sistema de medida , explorando sus caracteristicas estaticas y dinamicas, como precision, error e incertidumbre . Este curso i nicia introduciendo los fundamentos y aplicaciones de los sistemas de medida aplicados a sensores analogos y digitales, destacando asi el rol de los sensores en la medicion de magnitudes fisicas para control o conocimiento. Se aborda el concepto de linealizaci on y el acondicionamiento de senal necesario para la adquisicion y analisis de datos. Al finalizar, el curso ofrece un panorama basico presentando los principios para la elaboracion de sensores y transductores .",X,,Programa,curso instrumentacion presenta conceptos esenciales sistema medida explorando caracteristicas estaticas dinamicas precision error incertidumbre curso nicia introduciendo fundamentos aplicaciones sistemas medida aplicados sensores analogos digitales destacando asi rol sensores medicion magnitudes fisicas control conocimiento aborda concepto linealizaci acondicionamiento señal necesario adquisicion analisis datos finalizar curso ofrece panorama basico presentando principios elaboracion sensores transductores,/fondoCartas/img2.jpg
40,Ecuaciones D iferenciales,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,Este curso es una presentacion formal de las ecuaciones diferenciales con especial atencion a los modelos de evolucion dinamica en varias variables y sus correspondientes propiedades cualitativas como existencia y unicidad de soluciones. Es la puerta de entrada a una de las areas prominentes de la matematica aplicada como es el modelado de sistemas de evolucion temporal con aplicaciones en practicamente todas las areas de la ciencia y la tecnologia. El curso presenta ecuaciones diferenciales ordinarias de,X,,Programa,curso presentacion formal ecuaciones diferenciales especial atencion modelos evolucion dinamica varias variables correspondientes propiedades cualitativas existencia unicidad soluciones puerta entrada areas prominentes matematica aplicada modelado sistemas evolucion temporal aplicaciones practicamente todas areas ciencia tecnologia curso presenta ecuaciones diferenciales ordinarias,/fondoCartas/img4.jpg
41,Capstone Project,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,"En este curso los estudiantes trabajaran en equipos para desarrollar un proyecto que busca resolver un reto contextualizado en los problemas que enfrentan las organizaciones y la sociedad , que puede provenir de tres fuentes: reto empresarial, proyecto propuesto por un profesor de la escuela, proyecto propuesto por el grupo, con mentoria de un profesor de la escuela . Los estudiantes , en grupos, deben estructurar aspectos generales del problema propuesto, en terminos de definicion del problema, objetivos claros, proponer y disen ar una solucion, implementarla, evaluar su impacto e n la solucion del problema y comunicar los resultados de manera efectiva.",X,,Programa,curso estudiantes trabajaran equipos desarrollar proyecto busca resolver reto contextualizado problemas enfrentan organizaciones sociedad puede provenir tres fuentes reto empresarial proyecto propuesto profesor escuela proyecto propuesto grupo mentoria profesor escuela estudiantes grupos deben estructurar aspectos generales problema propuesto terminos definicion problema objetivos claros proponer diseñ solucion implementarla evaluar impacto solucion problema comunicar resultados manera efectiva,/fondoCartas/img6.jpg
42,Economia de Sistemas de Energia,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,ING,"La relacion entre la energia y el desarrollo economico son de vital importancia para entender el futuro de la sociedad, por lo que se requiere identificar y conocer los elementos fundamentales del papel de la energia en el desarrollo economico, las diferen tes fuentes de energia, su produccion y su consumo, e identificar los actores principales del mercado y comprender la dinamica de relacion entre ellos. El curso de Economia de Sistemas de Energia busca presentar los conceptos basicos de la economia del sector energetico que permitan desarrollar en los estudiantes las habilidades para proporcionar un analisis basico de los mercados de energia con el fin de conocer la orientacion futura del mercado. El curso es de caracter teorico y permitira desarrollar la base de fundamentos para los sectores de energia y economia, asi como la descripcion de las conexiones entre la energia y la actividad economica a nivel nacional e internacional, y especialmente el papel de los choques energeticos en las fluctuaciones economicas.",X,,Programa,relacion energia desarrollo economico vital importancia entender futuro sociedad requiere identificar conocer elementos fundamentales papel energia desarrollo economico diferen tes fuentes energia produccion consumo identificar actores principales mercado comprender dinamica relacion curso economia sistemas energia busca presentar conceptos basicos economia sector energetico permitan desarrollar estudiantes habilidades proporcionar analisis basico mercados energia fin conocer orientacion futura mercado curso caracter teorico permitira desarrollar base fundamentos sectores energia economia asi descripcion conexiones energia actividad economica nivel nacional internacional especialmente papel choques energeticos fluctuaciones economicas,/fondoCartas/img9.jpg
43,Topologia,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,El objetivo es acercar al estudiante a un estudio riguroso y abstracto y general de nociones ya estudiadas en el curso de Analisis Real.,X,,Programa,objetivo acercar estudiante estudio riguroso abstracto general nociones estudiadas curso analisis real,/fondoCartas/img3.jpg
44,Calculo 2,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,"En este curso se abordan temas de gran importancia para el acceso a una gran cantidad de aplicaciones. Comprende una presentacion de los metodos de integracion, las sucesiones y series y las integrales impropias.",X,,Programa,curso abordan temas gran importancia acceso gran cantidad aplicaciones comprende presentacion metodos integracion sucesiones series integrales impropias,/fondoCartas/img8.jpg
45,Inteligencia artificial: representacion y solucion de  problemas,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,"Este curso presentara una vision general del campo de la inteligencia artificial. Servira como punto de partida para discutir qu e es inteligencia y c omo se pueden crear agentes que actuen de forma inteligente. Asi mismo, introducira algunos de los temas mas importantes que forman parte de lo que conocemos como Inteligencia Artificial. Especificamente , se discutira sobre las caracteristicas de un agente inteligente, la representacion de problemas y la busqueda de soluciones optimas, el razonamiento y algunos sistemas de inferencia. Al final de este curso los estudiantes entenderan las bases algoritmicas de la inteligencia artificial y su relacion con otra s areas del conocimiento. El curso tambien presenta varios ejemplos de aplicacion de IA en diferentes campos.",X,,Programa,curso presentara vision general campo inteligencia artificial servira punto partida discutir inteligencia omo pueden crear agentes actuen forma inteligente asi mismo introducira temas mas importantes forman parte conocemos inteligencia artificial especificamente discutira caracteristicas agente inteligente representacion problemas busqueda soluciones optimas razonamiento sistemas inferencia final curso estudiantes entenderan bases algoritmicas inteligencia artificial relacion areas conocimiento curso tambien presenta varios ejemplos aplicacion diferentes campos,/fondoCartas/img6.jpg
46,Seguridad de redes,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,"Las redes de comunicaciones son el soporte fundamental para cualquier tipo de interaccion en el ciberespacio, es por medio de ellas que se logra la integracion de aplicaciones, el acceso remoto, el consumo de servicios y el aprovisionamiento de las funcion alidades ofrecidas por un sistema de informacion. Es por ello que la seguridad de las redes es fundamental para cualquier organizacion, y pueden incluso representar la diferencia entre tener o no presencia en el mercado. Dada su importancia, las redes de c omunicaciones son un objetivo de ataque comun por adversarios y son un activo mas de la organizacion por proteger. Es por ello que se hace imprescindible estudiar los diferentes esquemas de aseguramiento aplicables a redes que permitan detectar, mitigar o controlar ataques en curso y evitar asi impactos severos a una organizacion. El proposito de este curso es brindar una descripcion general holistica de los componentes clave de la seguridad de la informacion, como identificacion, autenticacion y autorizacion, virtualizacion y computacion en la nube, redes inalambricas, dispositivos moviles e IoT y seguridad de datos. Asi mismo, se busca con el mismo, preparar a los estudiantes para presentar la certificacion Network Defense Essentials (NDE) de EC -Council.",X,,Programa,redes comunicaciones soporte fundamental cualquier tipo interaccion ciberespacio medio logra integracion aplicaciones acceso remoto consumo servicios aprovisionamiento funcion alidades ofrecidas sistema informacion ello seguridad redes fundamental cualquier organizacion pueden incluso representar diferencia tener presencia mercado dada importancia redes omunicaciones objetivo ataque comun adversarios activo mas organizacion proteger ello hace imprescindible estudiar diferentes esquemas aseguramiento aplicables redes permitan detectar mitigar controlar ataques curso evitar asi impactos severos organizacion proposito curso brindar descripcion general holistica componentes clave seguridad informacion identificacion autenticacion autorizacion virtualizacion computacion nube redes inalambricas dispositivos moviles iot seguridad datos asi mismo busca mismo preparar estudiantes presentar certificacion network defense essentials (nde) -council,/fondoCartas/img4.jpg
47,Fundamentos de Circuitos,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,ING,"El curso cubre una etapa introductoria al modelado y analisis de circuitos electricos conformados por elementos pasivos tanto en corriente continua como en corriente alterna . En el curso, los estudiantes se veran expuestos a diferentes conceptos basicos de circuitos tales como variables electricas; fuentes de alimentacion ; funcionamiento y propiedades de las resistencias (R), los inductores (L) y los capacitores (C); y las l eyes fundament ales que rigen el comportamiento de los circuitos electricos y permiten su analisis . El curso busca:",X,,Programa,curso cubre etapa introductoria modelado analisis circuitos electricos conformados elementos pasivos corriente continua corriente alterna curso estudiantes veran expuestos diferentes conceptos basicos circuitos tales variables electricas fuentes alimentacion funcionamiento propiedades resistencias (r) inductores (l) capacitores (c) eyes fundament ales rigen comportamiento circuitos electricos permiten analisis curso busca,/fondoCartas/img7.jpg
48,Teoria de Numeros,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,"La Teoria de numeros es una rama de las matematicas que estudia los numeros y sus propiedades. Hay varias ramas de la Teoria de numeros, como la algebraica, la analitica, la computacional, entre otras. Es un area fascinante, que se conecta con muchas areas de las matematicas, con varias aplicaci ones como teoria de codigos o criptografia y que a su vez tiene una belleza propia de las demostraciones de sus algoritmos y una cierta fascinacion que deriva",X,,Programa,teoria numeros rama matematicas estudia numeros propiedades varias ramas teoria numeros algebraica analitica computacional area fascinante conecta muchas areas matematicas varias aplicaci ones teoria codigos criptografia vez belleza propia demostraciones algoritmos cierta fascinacion deriva,/fondoCartas/img2.jpg
49,Analisis real,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,"Este es un primer curso de analisis real que introduce al alumno en forma rigurosa y formal a sus principales conceptos. Este curso contiene una introduccion al analisis real, en donde estudian los conceptos propios de la estructura algebraica, de orden y de completitud de los numer os reales, sucesiones y series de numeros reales, ademas presenta la sustentacion formal y rigurosa de los principios del calculo en una variable. Con este curso se pretende desarrollar el pensamiento deductivo y analitico, lo cual capacita al estudiante para abordar ejemplos complicados, idear demostraciones, modificar y extrapolar los conceptos a nuevos contextos. El estudio de esta asignatura faci lita y clarifica el trabajo posterior que se realice dentro de la matematica y sus aplicaciones.",X,,Programa,primer curso analisis real introduce alumno forma rigurosa formal principales conceptos curso contiene introduccion analisis real estudian conceptos propios estructura algebraica orden completitud numer reales sucesiones series numeros reales ademas presenta sustentacion formal rigurosa principios calculo variable curso pretende desarrollar pensamiento deductivo analitico capacita estudiante abordar ejemplos complicados idear demostraciones modificar extrapolar conceptos nuevos contextos estudio asignatura faci lita clarifica trabajo posterior realice dentro matematica aplicaciones,/fondoCartas/img8.jpg
50,Ingenieria de datos,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,"Este curso presenta elementos de diseno, creacion y manejo de bases de datos relacionales, empleando el lenguaje SQL ( Structured Query Language). El curso profundiza en aspectos de almacenamiento de archivos, indices y procesamiento de consulta, asi como en el control de concurrencia y administracion de transacciones. El curso tambien considera aspectos de arquitectura de sistemas de bases de datos. Se fomenta el trabajo tanto independiente como en grupo para implementar soluciones de bases de datos.",X,,Programa,curso presenta elementos diseño creacion manejo bases datos relacionales empleando lenguaje sql structured query language) curso profundiza aspectos almacenamiento archivos indices procesamiento consulta asi control concurrencia administracion transacciones curso tambien considera aspectos arquitectura sistemas bases datos fomenta trabajo independiente grupo implementar soluciones bases datos,/fondoCartas/img4.jpg
51,Algoritmos y estructura de datos,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,"Este curso se dedica a formar en el alumno las habilidades apropiadas para disenar sus propios algoritmos y con ellos sus propias estructuras de datos apropiadas para resolver problemas. Se consideran estructuras generales como arboles, listas enlazadas, arreglos, pilas, colas, entre otros, asi como algoritmos de recursion, ordenamiento, sel eccion y busqueda. No es un curso de programacion, es un curso de analisis y diseno de algoritmos con propositos especificos, que se implementan sobre una plataforma (compilador/interprete). Hace parte muy importante del curso la implementacion, documentac ion, sustentacion, analisis logico metodico y demostraciones (pruebas) sobre casos de uso y teoremas. Se introducen diversos tipos de algoritmos y estructuras de datos para dar herramientas al alumno. Se fomenta el trabajo tanto independiente como en grupo para implementar soluciones algoritmicas a problemas practicos.",X,,Programa,curso dedica formar alumno habilidades apropiadas diseñar propios algoritmos propias estructuras datos apropiadas resolver problemas consideran estructuras generales arboles listas enlazadas arreglos pilas colas asi algoritmos recursion ordenamiento sel eccion busqueda curso programacion curso analisis diseño algoritmos propositos especificos implementan plataforma (compilador/interprete) hace parte importante curso implementacion documentac ion sustentacion analisis logico metodico demostraciones (pruebas) casos uso teoremas introducen diversos tipos algoritmos estructuras datos dar herramientas alumno fomenta trabajo independiente grupo implementar soluciones algoritmicas problemas practicos,/fondoCartas/img10.jpg
52,Precalculo,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,MACC,"En diversos cursos de su carrera universitaria, el estudiante debera aplicar competencias basicas en matematicas, el proposito del presente curso es facilitar el desarrollo de dichas competencias por parte del estudiante. Adicionalmente, se pretende fortalecer la constancia y los buenos habitos de estudio, considerando al estudiante como el actor principal de su aprendizaje, animando su participacion activa y la progresion a un ritmo i ndividualizado.",X,,Programa,diversos cursos carrera universitaria estudiante debera aplicar competencias basicas matematicas proposito presente curso facilitar desarrollo dichas competencias parte estudiante adicionalmente pretende fortalecer constancia buenos habitos estudio considerando estudiante actor principal aprendizaje animando participacion activa progresion ritmo ndividualizado,/fondoCartas/img8.jpg
53,Transferencia de Calor,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,ING,"El curso presenta los conceptos fundamentales de los mecanismos de Transferencia de Calor, profundizando estos conceptos a traves de la aplicacion de teorias y soluciones de problemas de ingenieria relevantes en aplicaciones industriales. La tematica cubierta incluye modos de transferenc ia de calor, efecto de la temperatura sobre la conductividad termica de diferentes solidos, liquidos y gases, aplicaciones en coordenadas cartesianas, cilindricas y esfericas y su reduccion a casos especificos, leyes generales de transferencia de calor; pr oporcionando a los estudiantes las bases fisicas por aplicar en los siguientes cursos de la linea de conversion de energia y maquinas electricas.",X,,Programa,curso presenta conceptos fundamentales mecanismos transferencia calor profundizando conceptos traves aplicacion teorias soluciones problemas ingenieria relevantes aplicaciones industriales tematica cubierta incluye modos transferenc calor efecto temperatura conductividad termica diferentes solidos liquidos gases aplicaciones coordenadas cartesianas cilindricas esfericas reduccion casos especificos leyes generales transferencia calor oporcionando estudiantes bases fisicas aplicar siguientes cursos linea conversion energia maquinas electricas,/fondoCartas/img9.jpg
54,Fundamentos de Energias Renovables,ESCUELA DE INGENIERIA CIENCIAS Y TECNOLOGIA,ING,"El curso proporciona una vision general de los diferentes recursos energeticos con un analisis de los principales recursos de combustibles fosiles, nucleares y energias renovables, aspectos de gestion energetica, y desafios asociados. El curso de Fundamentos de Energia Renovable es de caracter teorico y esta orientado a proporcionar a los estudiantes una vision general de los recursos energeticos y el analisis de uso de diferentes formas de energia y su entorno. Presenta las fuentes de energia convencionales, nuclear y renovable, recursos y tecnologias, presentando y definiendo el estado actual, asi como las opciones futuras bajas en carbono, explorando el vinculo vital entre tecnologia y cuestiones de politica relacionadas. Se analizan las politicas de cambio climatico, energia, y la seguridad energetica.",X,,Programa,curso proporciona vision general diferentes recursos energeticos analisis principales recursos combustibles fosiles nucleares energias renovables aspectos gestion energetica desafios asociados curso fundamentos energia renovable caracter teorico orientado proporcionar estudiantes vision general recursos energeticos analisis uso diferentes formas energia entorno presenta fuentes energia convencionales nuclear renovable recursos tecnologias presentando definiendo actual asi opciones futuras bajas carbono explorando vinculo vital tecnologia cuestiones politica relacionadas analizan politicas cambio climatico energia seguridad energetica,/fondoCartas/img2.jpg
